Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684806,0.00,0.00,3.86,57.26,0
946684823,22.68,0.00,3.94,57.26,0
946684842,22.89,0.00,3.95,57.26,0
946684862,22.89,0.00,3.95,57.26,0
946684882,22.92,0.00,3.95,57.26,0
946684903,22.74,0.00,3.95,57.26,0
946684923,22.79,0.00,3.95,57.26,0
946684943,22.65,0.00,3.95,57.26,0
946684962,22.68,0.00,3.96,57.26,0
946684982,22.68,0.00,3.96,57.26,0
946685003,22.14,0.00,3.96,57.58,0
946685023,21.98,0.00,3.96,57.58,0
946685043,22.17,0.00,3.96,57.58,0
946685062,22.40,0.00,3.96,57.58,0
946685082,22.45,0.00,3.96,57.58,0
946685102,22.59,0.00,3.96,57.58,0
946685123,22.59,0.00,3.96,57.58,0
946685143,22.58,0.00,3.96,57.58,0
946685162,22.55,0.00,3.97,57.89,0
946685182,22.55,0.00,3.97,57.89,0
946685202,22.55,0.00,3.97,57.89,0
946685223,22.56,0.00,3.97,57.89,0
946685243,22.39,0.00,3.97,57.89,0
946685263,22.58,0.00,3.97,57.89,0
946685282,22.58,0.00,3.97,57.89,0
946685302,22.57,0.00,3.97,58.21,0
946685322,22.55,0.00,3.97,58.21,0
946685343,22.55,0.00,3.97,58.21,0
946685363,22.55,0.00,3.97,58.21,0
946685383,22.57,0.00,3.98,58.21,0
946685402,22.21,0.00,3.98,58.21,0
946685422,22.03,0.00,3.98,58.21,0
946685442,22.26,0.00,3.98,58.53,0
946685462,22.13,14570.00,3.98,58.53,0
946685483,21.96,14620.00,3.98,58.53,0
946685503,21.98,14630.00,3.98,58.53,0
946685522,21.99,14630.00,3.98,58.53,0
946685542,22.00,14620.00,3.98,58.53,0
946685562,21.97,14630.00,3.98,58.53,0
946685583,21.98,14620.00,3.98,58.84,0
946685603,21.94,14620.00,3.98,58.84,0
946685623,21.95,14610.00,3.99,58.84,0
946685642,22.10,14610.00,3.99,58.84,0
946685662,21.97,14610.00,3.99,58.84,0
946685683,22.08,14600.00,3.99,58.84,0
946685703,22.04,14600.00,3.99,58.84,0
946685723,22.03,14590.00,3.99,59.16,0
946685742,22.03,14590.00,3.99,59.16,0
946685762,22.03,14590.00,3.99,59.16,0
946685782,22.03,14590.00,3.99,59.16,0
946685803,21.82,12890.00,3.99,59.16,0
946685823,21.83,0.00,3.99,59.16,0
946685842,21.86,0.00,3.99,59.48,0
946685862,22.14,54060.00,3.99,59.48,0
946685882,21.82,88420.00,4.00,59.48,0
946685903,21.67,89500.00,4.00,59.48,0
946685923,21.81,89740.00,4.00,59.48,0
946685943,22.01,89940.00,4.00,59.48,0
946685962,21.92,90010.00,4.00,59.79,0
946685982,21.73,90070.00,4.00,59.79,0
946686002,21.78,90180.00,4.00,59.79,0
946686023,21.62,90200.00,4.00,59.79,0
946686043,21.77,90250.00,4.00,59.79,0
946686062,21.78,90240.00,4.00,59.79,0
946686082,21.80,90180.00,4.00,60.11,0
946686102,21.80,90340.00,4.00,60.11,0
946686123,21.80,90260.00,4.00,60.11,0
946686143,21.92,90340.00,4.00,60.11,0
946686163,21.95,90360.00,4.00,60.11,0
946686182,21.87,90330.00,4.00,60.11,0
946686202,21.73,35120.00,4.00,60.43,0
946686222,21.87,0.00,4.01,60.43,0
946686243,22.43,0.00,4.01,60.43,0
